image_path,defect_type,true_label,score
test\aotu\000000.png,aotu,1,0.6917831301689148
test\aotu\000001.png,aotu,1,0.7362037897109985
test\aotu\000002.png,aotu,1,0.6579974293708801
test\aotu\000003.png,aotu,1,0.7442885637283325
test\aotu\000004.png,aotu,1,0.722017228603363
test\aotu\000005.png,aotu,1,0.7312358021736145
test\aotu\000006.png,aotu,1,0.7136726379394531
test\aotu\000007.png,aotu,1,0.6813258528709412
test\aotu\000008.png,aotu,1,0.7419292330741882
test\aotu\000009.png,aotu,1,0.7129644751548767
test\aotu\000010.png,aotu,1,0.6283189654350281
test\aotu\000011.png,aotu,1,0.6722036004066467
test\aotu\000012.png,aotu,1,0.6855427026748657
test\aotu\000013.png,aotu,1,0.6642453074455261
test\aotu\000014.png,aotu,1,0.6048290133476257
test\aotu\000015.png,aotu,1,0.6879143118858337
test\aotu\000016.png,aotu,1,0.6817363500595093
test\aotu\000017.png,aotu,1,0.746048629283905
test\aotu\000018.png,aotu,1,0.7432984113693237
test\aotu\000019.png,aotu,1,0.6951157450675964
test\aotu\000020.png,aotu,1,0.7024221420288086
test\aotu\000021.png,aotu,1,0.6214322447776794
test\aotu\000022.png,aotu,1,0.741747260093689
test\aotu\000023.png,aotu,1,0.6630856394767761
test\aotu\000024.png,aotu,1,0.6711028218269348
test\aotu\000025.png,aotu,1,0.6202902793884277
test\aotu\000026.png,aotu,1,0.6736319065093994
test\aotu\000027.png,aotu,1,0.6623626351356506
test\aotu\000028.png,aotu,1,0.6560137867927551
test\aotu\000029.png,aotu,1,0.6392011046409607
test\aotu\000030.png,aotu,1,0.7205578684806824
test\aotu\000031.png,aotu,1,0.662497341632843
test\aotu\000032.png,aotu,1,0.7750530242919922
test\aotu\000033.png,aotu,1,0.5215619802474976
test\aotu\000034.png,aotu,1,0.6816080212593079
test\aotu\000035.png,aotu,1,0.65693199634552
test\aotu\000036.png,aotu,1,0.7326215505599976
test\aotu\000037.png,aotu,1,0.6826384663581848
test\aotu\000038.png,aotu,1,0.5540346503257751
test\aotu\000039.png,aotu,1,0.65491783618927
test\aotu\000040.png,aotu,1,0.6843459606170654
test\aotu\000041.png,aotu,1,0.4996066987514496
test\aotu\000042.png,aotu,1,0.5165604948997498
test\aotu\000043.png,aotu,1,0.7065286040306091
test\aotu\000044.png,aotu,1,0.6730436682701111
test\aotu\000045.png,aotu,1,0.7058029174804688
test\aotu\000046.png,aotu,1,0.48679009079933167
test\aotu\000047.png,aotu,1,0.5529718995094299
test\aotu\000048.png,aotu,1,0.565640389919281
test\aotu\000049.png,aotu,1,0.6680447459220886
test\aotu\000050.png,aotu,1,0.7272458672523499
test\aotu\000051.png,aotu,1,0.5170267820358276
test\aotu\000052.png,aotu,1,0.6894324421882629
test\aotu\000053.png,aotu,1,0.7051474452018738
test\aotu\000054.png,aotu,1,0.5674908757209778
test\aotu\000055.png,aotu,1,0.5923255085945129
test\aotu\000056.png,aotu,1,0.6423223614692688
test\aotu\000057.png,aotu,1,0.6888388395309448
test\aotu\000058.png,aotu,1,0.624643862247467
test\aotu\000059.png,aotu,1,0.7042511105537415
test\aotu\000060.png,aotu,1,0.5484737753868103
test\aotu\000061.png,aotu,1,0.4958571195602417
test\aotu\000062.png,aotu,1,0.6162564158439636
test\aotu\000063.png,aotu,1,0.6781191229820251
test\aotu\000064.png,aotu,1,0.6264923214912415
test\aotu\000065.png,aotu,1,0.6225859522819519
test\aotu\000066.png,aotu,1,0.6033970713615417
test\aotu\000067.png,aotu,1,0.6591768860816956
test\aotu\000068.png,aotu,1,0.5676844120025635
test\aotu\000069.png,aotu,1,0.673430323600769
test\aotu\000070.png,aotu,1,0.6196724772453308
test\aotu\000071.png,aotu,1,0.6335778832435608
test\aotu\000072.png,aotu,1,0.7581976652145386
test\aotu\000073.png,aotu,1,0.7847842574119568
test\aotu\000074.png,aotu,1,0.7345935702323914
test\aotu\000075.png,aotu,1,0.6311732530593872
test\aotu\000076.png,aotu,1,0.6177148818969727
test\aotu\000077.png,aotu,1,0.6847952008247375
test\aotu\000078.png,aotu,1,0.5290136933326721
test\aotu\000079.png,aotu,1,0.5250057578086853
test\bianxing\000000.png,bianxing,1,0.4986790716648102
test\bianxing\000001.png,bianxing,1,0.6459486484527588
test\bianxing\000002.png,bianxing,1,0.6977348327636719
test\bianxing\000003.png,bianxing,1,0.7905899286270142
test\bianxing\000004.png,bianxing,1,0.6224760413169861
test\bianxing\000005.png,bianxing,1,0.7214057445526123
test\bianxing\000006.png,bianxing,1,0.6072124242782593
test\bianxing\000007.png,bianxing,1,0.512682318687439
test\bianxing\000008.png,bianxing,1,0.6672109365463257
test\bianxing\000009.png,bianxing,1,0.5183318853378296
test\bianxing\000010.png,bianxing,1,0.5328198075294495
test\bianxing\000011.png,bianxing,1,0.6686739325523376
test\bianxing\000012.png,bianxing,1,0.641710638999939
test\bianxing\000013.png,bianxing,1,0.6642840504646301
test\bianxing\000014.png,bianxing,1,0.5279996991157532
test\bianxing\000015.png,bianxing,1,0.7256055474281311
test\bianxing\000016.png,bianxing,1,0.46662548184394836
test\bianxing\000017.png,bianxing,1,0.49728670716285706
test\bianxing\000018.png,bianxing,1,0.5192552804946899
test\bianxing\000019.png,bianxing,1,0.5049728751182556
test\bianxing\000020.png,bianxing,1,0.519012987613678
test\bianxing\000021.png,bianxing,1,0.6597077250480652
test\bianxing\000022.png,bianxing,1,0.6042515635490417
