product,train_image,test_image,phash_distance
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000000.png,Aluminum_Camera_Cover\test\good\000128.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000000.png,Aluminum_Camera_Cover\test\good\000144.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000000.png,Aluminum_Camera_Cover\test\good\000304.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000003.png,Aluminum_Camera_Cover\test\good\000076.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\aotu\000028.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\good\000056.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\good\000094.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\good\000123.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000115.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000116.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000117.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000118.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000120.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000121.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000122.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000123.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000004.png,Aluminum_Camera_Cover\test\yashang\000124.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\fabai\000014.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\fabai\000019.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\fabai\000021.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000003.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000034.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000039.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000040.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000046.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000071.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000074.png,0
Aluminum_Camera_Cover,Aluminum_Camera_Cover\train\good\000005.png,Aluminum_Camera_Cover\test\good\000077.png,0
