image_path,valid_patches,baseline_score,baseline_ms,chunked_score,chunked_ms,chunked_score_diff,chunked_prediction_match,faiss_cpu_score,faiss_cpu_ms,faiss_cpu_score_diff,faiss_cpu_prediction_match,faiss_gpu_score,faiss_gpu_ms,faiss_gpu_score_diff,faiss_gpu_prediction_match
data\3CAD\Aluminum_Camera_Cover\test\aotu\000000.png,1024,0.7890750169754028,9.569099987857044,0.7890750169754028,9.824900014791638,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000003.png,1024,0.8172910213470459,9.448600001633167,0.8172910213470459,9.806400048546493,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000004.png,1024,0.7805242538452148,9.547099994961172,0.7805242538452148,9.893000009469688,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000006.png,1024,0.7460782527923584,9.4939999980852,0.7460782527923584,9.976300003472716,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000009.png,1024,0.7605640888214111,9.455999999772757,0.7605640888214111,9.796100028324872,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000010.png,1024,0.7405333518981934,9.466500021517277,0.7405333518981934,9.816900012083352,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000011.png,1024,0.7290283441543579,9.532800002489239,0.7290283441543579,9.865399973932654,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000012.png,1024,0.7516507506370544,9.460900037083775,0.7516507506370544,9.81269998010248,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000013.png,1024,0.6657806634902954,9.535799967125058,0.6657806634902954,9.919499978423119,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000014.png,1024,0.6670408844947815,9.506200032774359,0.6670408844947815,9.876900003291667,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000017.png,1024,0.7642406225204468,9.565600019413978,0.7642406225204468,10.110699979122728,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000021.png,1024,0.7053552865982056,9.485599992331117,0.7053552865982056,9.822799998801202,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000026.png,1024,0.6648702621459961,9.40359995001927,0.6648702621459961,9.769399999640882,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000027.png,1024,0.6652550101280212,9.437199973035604,0.6652550101280212,9.789600037038326,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000028.png,1024,0.6877518892288208,9.409499994944781,0.6877518892288208,9.906499995850027,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000029.png,1024,0.7120491862297058,9.502600005362183,0.7120491862297058,9.911599976476282,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000031.png,1024,0.6961690187454224,9.398499969393015,0.6961690187454224,9.799699997529387,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000034.png,1024,0.7509238719940186,9.594700008165091,0.7509238719940186,9.978400019463152,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000035.png,1024,0.6990020871162415,9.44980001077056,0.6990020871162415,9.82149998890236,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000037.png,1024,0.722517728805542,9.576900047250092,0.722517728805542,9.886899963021278,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000041.png,1024,0.5493830442428589,9.43050003843382,0.5493830442428589,9.801500011235476,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000044.png,1024,0.7021802067756653,9.440399997401983,0.7021802067756653,9.809500013943762,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000045.png,1024,0.7721843123435974,9.397200017701834,0.7721843123435974,9.81989997671917,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000048.png,1024,0.6536194086074829,9.410400001797825,0.6536194086074829,9.749900025781244,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000051.png,1024,0.6033011674880981,9.46750002913177,0.6033011674880981,9.8230000003241,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000052.png,1024,0.7493700981140137,9.36949998140335,0.7493700981140137,9.721900045406073,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000054.png,1024,0.670883059501648,9.397100016940385,0.670883059501648,9.743799979332834,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000058.png,1024,0.6822783350944519,9.415099979378283,0.6822783350944519,9.772000019438565,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000060.png,1024,0.5997135639190674,9.423600044101477,0.5997135639190674,9.78160003433004,0.0,True,,,,,,,,
data\3CAD\Aluminum_Camera_Cover\test\aotu\000064.png,1024,0.6821603775024414,9.441300004255027,0.6821603775024414,9.778000006917864,0.0,True,,,,,,,,
