image_path,label,defect_type,mask_path,sha256,source_split
data/3CAD/Aluminum_Camera_Cover/train/good/000000.png,0,good,,7231bbc05cfbe3cce1961bec3d881143a8ceb7b91c930550daac55b3290a6bce,train
data/3CAD/Aluminum_Camera_Cover/train/good/000001.png,0,good,,fee080aa4eed9f88f0f5769bda83f787d03f94b44b2570512888ff3511651662,train
data/3CAD/Aluminum_Camera_Cover/train/good/000002.png,0,good,,43bd3eaa19f07da2942cfde49d5f28748f912314a353abb588568f3c2c087e82,train
data/3CAD/Aluminum_Camera_Cover/train/good/000003.png,0,good,,bc39cea14982e98496aaaaa91f7015f3131ec85f70f22d1b8359e28b1c33a961,train
data/3CAD/Aluminum_Camera_Cover/train/good/000004.png,0,good,,b706e8659c288011219d64166df3e6a4e151a54cd688dac5993aa648171da8a9,train
data/3CAD/Aluminum_Camera_Cover/train/good/000005.png,0,good,,f7a10f4a58da8169274b03ffadf3b54ebbff65296ecd7bed28ee4bc642b0bd25,train
data/3CAD/Aluminum_Camera_Cover/train/good/000006.png,0,good,,813ef718b4b0684c7002141d9a02c12b1fbe637a32b3092fd501127a3c9b016e,train
data/3CAD/Aluminum_Camera_Cover/train/good/000007.png,0,good,,a6e532d9ae5fc86cf5004f683fd84e2a2aea4ddd7f98559c031d555beb7e076f,train
data/3CAD/Aluminum_Camera_Cover/train/good/000008.png,0,good,,bf09634bc93459883e3f1d7a63be68b88f1be5662b622cdf78117e891b0ae5ef,train
data/3CAD/Aluminum_Camera_Cover/train/good/000009.png,0,good,,ab26fb8fa49cef90d9ef7d4c37d98bf770646b2261a93f59bd4edaec7ee7470a,train
data/3CAD/Aluminum_Camera_Cover/train/good/000010.png,0,good,,c76eddb73aabf8316625d097db482e4ad50eeee72c6ced7101af09d036a14b91,train
data/3CAD/Aluminum_Camera_Cover/train/good/000011.png,0,good,,88d9397e3d552f0c5858b9c3cd6914e1aa2db0e865765366d9a1c4f1c5d31f8c,train
data/3CAD/Aluminum_Camera_Cover/train/good/000012.png,0,good,,1bed62f713d159062ba92aae359c0e78eedbde84ba5bac1ce39f2a960feca959,train
